ivalue;iname;inote;spesave;itype;imaterial;idice;dplspell
0;Aid;For the spell's duration, up to 3 creatures within 30 feet of the caster gain 5 temporary hit points per level. This spell lasts for 2 hours per level;None;abjuration;0;1d1;d1
11;Banishing Smite;The caster produces a blast of devine energy toward a target within 5' dealing 2d12 energy damage +1d12 per level, deals double damage to Demons and Undead, and causes lesser undead to turn on a failed save. Also banishes extraplanar beings to their home plane for 1d4 days per level on a failed save.;Lesser undead save vs turning, Extraplanar beings save vs banishment;abjuration;2;2d12;d12
0;Bless;This spell grants up to three targets +20 on their next attack roll or saving throw. Each level allows the caster to target an additional creature;None;abjuration;0;1d1;d1
15;Bountiful Feast;This spell creates a great feast, including a fantastic array of food and drink suitable for up to 12 creatures to partake of. The food disappears afer one hour, at which point, anyone who consumed food or drink from the feast is cured of all disease and poison, is immune to disease and poison and fear for the duration, heals 2d10 hit points and gains the same number of temporary hit points. These effects last for 6 hours per level.;None;abjuration;2;1d1;d1
4;Crusader's Mantle;Friendly creatures within 30' of the caster, including the caster, are imbued with a holy energy and slightly glowing aura for 1d6 rounds per level. Those in the range of the spell deal and additional 1d4 energy damage on attacks and gain 1d4 temporary hit points per level for the spells duration.;None;abjuration;0;1d1;d1
6;Cure Disease;Cures target of disease;None;abjuration;1;1d1;d1
5;Cure Poison;Cures target of poison;None;abjuration;1;1d1;d1
11;Dispel Magic;The caster attempts to remove a magical effect from an object. A failed roll prevents the caster from dispelling magic on this item for 24 hours.;None;abjuration;3;1d1;d1
20;Forcecage;"An immobile, invisible, cube-shaped prison composed of magical force springs into existence around an area you choose within range. The prison can be a cage or a solid box, as you choose. A prison in the shape of a cage can be up to 20 feet on a side and is made from 1/2-inch diameter bars spaced 1/2 inch apart.
A prison in the shape of a box can be up to 10 feet on a side, creating a solid barrier that prevents any matter from passing through it and blocking any spells cast into or out from the area. When you cast the spell, any creature that is completely inside the cage’s area is trapped. Creatures only partially within the area, or those too large to fit inside the area, are pushed away from the center of the area until they are completely outside the area. A creature inside the cage can’t leave it by nonmagical means. If the creature tries to use teleportation or interplanar travel to leave the cage, it must first make a save. On a success, the creature can use that magic to exit the cage. On a failure, the creature can’t exit the cage and wastes the use of the spell or effect. This spell can’t be dispelled by dispel magic. This spell lasts for 20 minutes per level.";See Description;abjuration;4;1d1;d1
15;Heal Deadly Wounds;Heals 1d100 damage plus 5 per level;None;abjuration;3;1d100;d1
3;Heal Light Wounds;Heals 1d6 damage plus 1 per level;None;abjuration;1;1d6;d1
1;Heal Minor Wounds;Heals 1d4 damage plus 1 per level;None;abjuration;0;1d4;d1
6;Heal Moderate Wounds;Heals 1d10 damage plus 1 per level;None;abjuration;2;1d10;d1
9;Heal Serious Wounds;Heals 1d20 damage plus 1 per level;None;abjuration;3;1d20;d1
4;Heroism;This spell grants one target per level immunity to fear and temporary hit points equal to 1/4 the caster's MYS attribute until the spell ends. This spell lasts for 1d6 rounds per level.;None;abjuration;1;1d6;d1
14;Mass Heal;Heals 1d12 damage plus 1 per level to up to 3 targets plus 1 per level;None;abjuration;3;1d12;d1
9;Mystic Armor;A crackling suit of magical crystal clear armor covers the target providing 1d12 +1 per level protection to target’s entire body. This armor remains until destroyed, dispelled or 2d4 hours plus 1d4 per level have elapsed.;None;abjuration;2;1d12;d1
7;Mystic Shield;A bubble of shimmering energy surrounds the caster providing 1d20 protection plus 1 per level. This bubble remains until destroyed, dispelled, or 2d4 rounds plus 1d4 per level have elapsed.;None;abjuration;1;1d1;d1
14;Nullifying Aura;This spell creates a sparkling cloud around the caster and up to 1 additional person per level. This cloud nullifies the effects of any spells cast into it for 1d4 rounds plus 1 per level.;None;abjuration;4;1d1;d1
8;Protection from Blight;One target per level is protected from poison and disease for 1d4 hours per level. This does not cure existing poison or disease.;None;abjuration;0;1d4;d1
8;Purify Food and Drink;This spell removes any poison or disease as well as impurities and dangerous levels of salt from a serving of food and/or drink. This allows even the most brackish waters to be consumed without problem and even rotten meat to be consumed without making the eater sick.;None;abjuration;0;1d1;d1
18;Regeneration;For the spell's duration, target creature regenerates hit points at a rate of 1d6 per round. Spell lasts for 1d6 rounds per level.;None;abjuration;4;1d1;d1
10;Remove Curse;This spell nullifies the effects of a magical curse on a creature or object. On a failed roll, the curse can not be lifted by the caster for another 24 hours.;None;abjuration;2;1d1;d1
6;Remove Petrification;Removes paralysis or magically binding effect from target;None;abjuration;2;1d1;d1
5;Resist Hunger/Thirst;Avoid hunger and thirst for 1 day. Unwise to be under the effects of this spell for more than a week at a time, as on a failed check, the target’s hunger and thirst catches up with them which can lead to a coma or death.;None;abjuration;1;1d1;d1
25;Restoration;Removes Petrification, Sleep, Poison, Disease, and Blindness and restores target to full health;None;abjuration;4;1d1;d1
20;Shield Wall;Summons a crackling magical dome over the caster and up to 1 additional person per level. Nothing can pass through the dome while it is up either in or out, except for those in the dome, who can come and go as the please. The dome protects 100 damage plus 50 per level of the caster and lasts for 1d4 minutes per level.;None;abjuration;4;1d1;d1
